Annual Net emissions/removals in kt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Query results for — Party: Australia and 44 other(s) | Year: Base year and 29 other(s) | Category: 1.  Energy and 279 other(s) | Classification: Total for category | Type of value: Net emissions/removals | Gas: CO₂ | Unit: kt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Year,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Last Inventory Year (2019)
Party,Category \ Unit,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt
Australia,"1.A.2.d  Pulp, Paper and Print",1289.606258,1289.606258,1153.698414,1170.321196,1356.462445,1295.461253,1328.18122,1299.343637,1376.484829,1284.231681,1476.841681,1448.962873,1463.622873,1463.622873,1500.222926,1616.610519,1766.32637,1770.959154,1707.817951,1652.902353,1323.431798,1286.223476,1126.035124,1018.411973,1089.367023,957.395193,958.2991386,936.2534217,950.2669622,998.3059937,974.8964209
Australia,"1.A.2.e  Food Processing, Beverages and Tobacco",2895.946007,2895.946007,3005.066007,3001.160342,2982.926301,3109.360138,3214.908016,3200.994905,3144.093714,3124.72444,3062.397289,3079.405632,2480.746097,2489.601591,3258.2317,2965.391728,3394.254176,3309.006745,2999.019355,3061.862423,3085.256348,2999.524614,3157.991351,3007.292617,2873.593021,2835.192832,2768.067984,2727.869438,2548.749969,2523.246517,2531.536606
Australia,1.A.2.f  Non-metallic Minerals,5500.98888,5500.98888,4972.967835,4769.253068,4816.417835,5082.932864,5196.607166,4783.240794,4844.651411,4903.621411,5063.371672,5030.804071,5394.560949,5478.053656,6457.756187,6487.30745,6246.410379,6117.586488,6773.021816,6826.217647,6149.549291,6311.322078,6379.798781,5815.428407,5558.831605,5283.012068,5248.170999,5169.370142,4894.88478,4928.920062,4862.010729
Australia,1.A.2.g  Other,6682.33647,6682.33647,6343.581147,6295.37928,6309.236571,6278.532912,6582.258828,6863.327172,7197.251083,6987.354277,7099.609076,7140.911093,7016.632373,7688.834443,6276.156954,6083.950075,6254.355517,5982.408798,6173.228226,6533.110444,7463.185747,7171.495106,7964.902203,9392.683414,10721.30953,10913.19083,10273.23342,10093.74077,10488.15567,11122.10395,11339.76072
Australia,1.A.2.g.i  Manufacturing of Machinery,479.7077304,479.7077304,465.5665385,460.4253467,456.162963,457.0417712,447.6381957,447.6381957,427.0734284,417.6698529,407.3874692,386.8227019,317.3507835,311.3307835,309.6628917,368.2065135,373.0474754,328.2294773,349.5541197,351.8588351,403.1639911,369.1214828,384.7414139,371.8859519,316.0595662,272.5606657,240.544072,212.6596026,189.2554386,115.7428334,80.41610536
Australia,1.A.2.g.iii  Mining (Excluding Fuels) and Quarrying,2475.928929,2475.928929,2459.000758,2562.647233,2648.853333,2691.942057,3071.330357,3485.995851,3940.158106,3796.96534,4023.326098,4177.318842,4178.8223,4850.614625,3412.772102,3203.256406,3298.727883,3219.74081,3391.849996,3763.046064,4781.515553,4569.026759,5332.95235,6770.425053,8205.947525,8457.9779,7843.842186,7779.810891,8208.013056,8797.38577,9164.677835
Australia,1.A.2.g.v  Construction,2848.033215,2848.033215,2582.413215,2491.543215,2405.814407,2329.294407,2251.434407,2174.544407,2097.654407,2076.438709,2016.821092,1952.062284,1916.61586,1918.484154,1867.194287,1844.804004,1868.451542,1761.454009,1761.184855,1762.257125,1723.978759,1694.478683,1692.859008,1679.004976,1651.02544,1648.613972,1687.566837,1600.216548,1579.891704,1678.624584,1584.418486
Australia,1.A.2.g.vi  Textile and Leather,522.3474692,522.3474692,495.7050855,479.7150855,512.7810447,524.9122365,557.9570039,516.6734284,509.3134284,494.6722365,465.8898529,453.9462774,453.9462774,459.0874692,454.5495283,431.4302708,479.1165332,467.6733893,463.3113401,440.9022241,394.6844689,371.4716701,373.8131286,376.3164553,377.4670515,373.3434628,353.7621106,356.0121978,362.0631941,385.3282583,361.2003821
Australia,1.A.2.g.viii  Other,356.3191264,356.3191264,340.8955509,301.0483999,285.6248244,275.3424407,253.8988652,238.4752897,223.0517142,201.6081387,186.1845632,170.7609877,149.8971531,149.3174122,231.9781449,236.2528811,235.0120833,205.3111119,207.3279155,215.0461955,159.842975,167.3965103,180.5363033,195.050978,170.8099484,160.6948259,147.51821,145.0415321,148.932274,145.0224993,149.0479136
Australia,1.A.3  Transport,59821.59518,59821.59518,59163.84901,60087.5808,61562.17588,62998.05703,66231.55254,68032.39766,69277.17517,69393.71305,70156.59713,71712.10569,71659.43565,73057.24836,75417.27574,78428.09659,79578.61391,80924.7436,82929.96407,84025.12432,84941.09415,86494.91347,89173.66519,89769.54816,90053.17556,91221.61332,93378.02319,94609.45011,96951.99123,98973.0441,98769.99017
Australia,1.A.3.a  Domestic Aviation,2614.888195,2614.888195,3246.650524,3521.271192,3693.008992,3915.53718,4614.032589,5064.617831,5405.29301,4903.11388,4747.669276,4935.917615,5482.631895,4929.317787,4708.616934,4930.306511,5360.229546,5638.016552,6112.76251,6620.285557,6653.222737,6766.94873,7591.195858,7925.933891,8410.906275,8505.110206,8532.879839,8734.254139,8777.458125,9000.08899,8452.550368
Australia,1.A.3.b  Road Transportation,52645.00913,52645.00913,51681.57356,52321.94337,53797.11872,55141.78992,57221.67549,58449.37562,59341.52088,60305.32705,61457.15846,62690.2078,62150.46552,63937.19914,66406.53622,68893.17733,69317.7701,70485.49855,71554.2789,72462.37267,73091.49408,74403.15382,76376.89255,76876.63095,76676.96941,77800.32471,79457.74118,80373.15934,82390.65262,83980.68261,83540.45513
Australia,1.A.3.b.i  Cars,33817.48029,33817.48029,33322.87178,33732.68969,34472.82371,35085.91235,36038.63009,36382.49002,36425.11091,36668.86206,38039.44491,38508.45437,37719.09708,38176.9284,39981.95887,41146.69812,41538.47529,41846.10804,40990.98681,41558.62528,41772.2556,42448.01627,43165.38453,42799.74347,42216.71052,42312.57591,43978.45726,43333.9388,44380.78329,46110.29004,44365.4254
Australia,1.A.3.b.ii  Light Duty Trucks,7366.219918,7366.219918,7258.598457,7370.431444,7598.897755,7810.209077,8126.112615,8322.742831,8472.771078,8632.322705,8523.591212,8913.124393,9655.508123,10076.76921,10329.76516,11256.95678,10767.51965,10974.67412,11716.9806,12183.47963,12667.84915,13314.74876,13521.10927,13494.59286,13583.57125,13753.6999,13816.34484,15135.4214,15482.28562,16507.62216,16842.40552
Australia,1.A.3.b.iii  Heavy Duty Trucks and Buses,11262.8962,11262.8962,10905.52186,11022.5919,11525.75103,12043.41979,12850.26304,13536.60909,14237.07563,14797.2539,14743.59333,15100.49182,14587.07534,15440.78391,15903.44829,16267.61544,16823.51978,17477.12652,18566.33185,18418.88989,18332.43421,18299.70511,19388.11112,20327.00923,20606.64032,21476.99668,21368.63259,21619.18306,22233.73467,21062.60711,22045.18745
Australia,1.A.3.b.iv  Motorcycles,198.4127317,198.4127317,194.5814522,196.2303348,199.6462347,202.2486991,206.6697485,207.5336785,206.5632596,206.8883968,150.5289961,168.1372197,188.7849783,242.7176216,191.3639033,221.9069836,188.2553738,187.5898708,279.9796438,301.377875,318.9551226,340.6836793,302.2876272,255.2854017,270.0473174,257.0522188,294.3064871,284.6160704,293.8490307,300.1633011,287.4367581
Australia,1.A.3.b.v  Other,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Australia,1.A.3.c  Railways,1737.850238,1737.850238,1736.354238,1682.870596,1656.114596,1606.87943,1557.25043,1561.533311,1568.789238,1566.459,1569.584238,1566.788238,1491.67299,1567.326468,1639.572626,1819.127238,1893.9405,1901.28,1942.57291,2317.281618,2408.376793,2380.298308,2455.03028,2717.786811,2923.334465,2998.833584,3240.522335,3340.528534,3488.137916,3564.905753,3640.652784
Australia,1.A.3.d  Domestic Navigation,2523.074204,2523.074204,2235.230299,2261.145805,2073.791506,1939.790968,2397.402955,2494.944256,2479.271926,2131.310326,1853.006288,1948.405397,1851.284771,1851.722423,1831.352576,1998.405727,2170.50692,2016.698585,2404.145069,1694.97669,2132.234231,2302.55604,2153.869733,1678.851751,1428.714201,1333.214842,1564.609794,1485.941849,1570.241091,1593.731001,2201.605084
Australia,1.A.3.e  Other Transportation,300.7734111,300.7734111,264.0403965,300.3498364,342.1420605,394.0595358,441.1910754,461.926639,482.3001146,487.5027931,529.1788758,570.78664,683.3804715,771.682537,831.1973787,787.0797806,836.1668508,883.2499205,916.2046835,930.2077886,655.76631,641.9565717,596.6767653,570.3447558,613.2512079,584.1299703,582.2700421,675.56625,725.5014823,833.6357469,934.7268043
Australia,1.A.3.e.i  Pipeline Transport,262.2007835,262.2007835,226.2124407,262.2007835,303.3303182,354.7422365,401.012963,421.5777304,442.1424977,447.2836896,488.4132242,529.5427589,642.6489792,730.0492404,788.6691097,742.9176436,792.0468727,839.330414,871.9307115,885.8993297,611.9429265,598.0189816,552.2533471,526.7110934,569.8464125,541.9678885,540.0472935,633.4786354,682.0267556,790.7153041,893.6736343
Australia,1.A.3.e.ii  Other,38.57262755,38.57262755,37.82795585,38.14905282,38.81174231,39.31729925,40.1781124,40.34890866,40.15761685,40.2191035,40.76565154,41.24388107,40.73149229,41.63329654,42.52826895,44.16213698,44.11997808,43.91950646,44.27397205,44.30845892,43.82338357,43.93759018,44.42341826,43.63366235,43.40479536,42.16208177,42.2227486,42.0876146,43.47472668,42.92044281,41.05317002
Australia,1.A.4  Other Sectors,13018.36165,13018.36165,13114.24053,13484.54565,13939.08833,13886.88001,14598.53074,15013.65599,15275.70623,15625.53854,15773.55106,16311.59253,17170.16883,17565.27176,18172.0197,18147.23381,18608.09063,18809.03729,18693.92837,19085.4467,19328.92447,19707.66845,20171.0268,20612.34301,21032.79106,21477.52971,22133.33741,22981.803,23530.51016,23812.64865,22403.81749
Australia,1.A.4.a  Commercial/Institutional,3591.643809,3591.643809,3650.346101,3742.131513,3777.517159,3789.099168,3959.036307,4081.83174,4115.420614,4231.363615,4340.618673,4515.184339,4235.683551,4374.732861,4313.919769,4360.549456,4428.705437,4623.872566,4658.084937,4773.654226,4837.166193,4948.116068,5131.563922,5349.913822,5448.703494,5753.030295,5894.585388,6089.187339,6237.297246,6468.744269,5904.432694
Australia,1.A.4.b  Residential,6020.787844,6020.787844,6036.994434,6260.564133,6560.891167,6365.510842,6795.384431,7075.008049,7137.908723,7274.781829,7169.60119,7389.037002,7527.74409,7701.137703,7743.767753,7661.779011,7720.071613,8072.243291,8132.247715,8340.79049,8540.912286,8662.009908,8914.149135,9027.487329,9251.869819,9437.132316,9584.843945,9843.231542,9722.596379,9719.874441,9897.315989
Australia,1.A.4.b.i  Stationary Combustion,5780.780383,5780.780383,5801.620486,6023.192249,6319.395882,6120.869869,6545.387287,6823.948173,6888.039107,7024.52963,6915.948247,7132.408409,7274.303694,7442.08608,7479.147413,7386.99238,7445.547305,7798.966362,7856.765222,8065.093412,8268.233455,8388.620458,8637.736755,8755.988986,8981.795537,9174.790474,9322.124621,9581.353051,9452.086969,9452.813908,9641.874042
Australia,1.A.4.b.ii  Off-road Vehicles and Other Machinery,240.0074603,240.0074603,235.3739475,237.3718842,241.4952855,244.6409731,249.9971438,251.0598761,249.8696159,250.2521996,253.6529429,256.6285933,253.4403964,259.0516229,264.6203401,274.7866301,274.5243081,273.2769291,275.4824927,275.6970777,272.6788311,273.38945,276.4123803,271.4983435,270.0742822,262.3418421,262.7193246,261.8784908,270.5094105,267.060533,255.4419468
Australia,1.A.4.b.iii  Other,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Australia,1.A.4.c  Agriculture/Forestry/Fishing,3405.93,3405.93,3426.9,3481.85,3600.68,3732.27,3844.11,3856.8162,4022.376892,4119.393092,4263.331192,4407.371192,5406.741192,5489.401192,6114.332173,6124.905343,6459.31358,6112.921433,5903.595715,5971.001985,5950.84599,6097.542472,6125.313745,6234.941859,6332.217745,6287.367099,6653.908076,7049.384117,7570.616539,7624.029942,6602.068811
Australia,1.A.4.c.i  Stationary,3405.93,3405.93,3426.9,3481.85,3600.68,3732.27,3844.11,3856.8162,4022.376892,4119.393092,4263.331192,4407.371192,5406.741192,5489.401192,6114.332173,6124.905343,6459.31358,6112.921433,5903.595715,5971.001985,5950.84599,6097.542472,6125.313745,6234.941859,6332.217745,6287.367099,6653.908076,7049.384117,7570.616539,7624.029942,6602.068811
Australia,1.A.4.c.ii  Off-road Vehicles and Other Machinery,"IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA"
Australia,1.A.4.c.iii  Fishing,"IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA","IE,NA"
Australia,1.A.5  Other (Not specified elsewhere),418.9955179,418.9955179,442.3394823,493.2338279,499.7133646,558.5724695,689.9515206,774.4784742,813.4879071,702.2622555,626.7599683,629.1050481,633.1533953,585.4358585,555.6374153,577.6406129,617.6984477,649.0548737,819.9429812,839.563248,826.7768261,881.1764355,890.3916629,864.1741225,903.5162556,1017.058067,937.31809,1113.997861,919.1301968,820.1564243,785.1441592
Australia,1.A.5.a  Stationary,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Australia,1.A.5.b  Mobile,418.9955179,418.9955179,442.3394823,493.2338279,499.7133646,558.5724695,689.9515206,774.4784742,813.4879071,702.2622555,626.7599683,629.1050481,633.1533953,585.4358585,555.6374153,577.6406129,617.6984477,649.0548737,819.9429812,839.563248,826.7768261,881.1764355,890.3916629,864.1741225,903.5162556,1017.058067,937.31809,1113.997861,919.1301968,820.1564243,785.1441592
Australia,Waste Incineration with Energy Recovery included as Biomass,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Australia,Waste Incineration with Energy Recovery included as Fossil Fuels,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Australia,1.AB  Fuel Combustion - Reference Approach,254498.756,254498.756,257643.3182,258657.2895,265862.3926,268892.3483,277143.9047,287304.7772,291479.2433,305977.1953,313551.3716,319265.2121,324050.4086,330567.8895,336594.3431,349431.0937,356355.7652,355463.7681,364971.5868,370193.476,380303.9802,374164.7164,372916.2431,380721.0931,369832.6603,360968.8245,368241.3444,373134.4385,375023.3185,375064.5218,379439.6495
Australia,"1.AD  Feedstocks, Reductants and Other Non-energy Use of Fuels",12228.06901,12228.06901,11899.76449,12544.17295,12346.1926,13363.71634,13875.10573,13883.12678,13870.24048,13828.23837,14251.22442,13586.63362,12325.08381,12128.83828,12853.25676,13856.41233,13696.2031,14558.11485,15521.26656,14893.4702,13867.70818,16368.50734,16628.60706,16651.11753,12422.4904,12312.10117,12769.20042,13505.84337,13934.39167,14410.95224,14027.05566
Australia,1.B  Fugitive Emissions from Fuels,7413.169184,7413.169184,7147.225815,7465.509609,7292.181128,7057.379207,7303.75104,7043.405823,7034.922757,7268.511915,7489.104148,8277.472283,8495.710687,8371.343755,7503.104483,7167.482154,7249.182233,7365.918667,7833.80307,7812.869053,8362.667475,8587.24013,8232.734989,8641.190367,9182.934698,9669.569132,11118.61608,12746.0805,15184.3511,17267.48149,20201.2667
Australia,1.B.1  Solid Fuels,1183.880582,1183.880582,1171.768305,1300.991596,1195.273332,1119.435827,1111.526799,1222.649103,1333.083692,1320.771762,1127.853481,1150.510138,1218.128763,1239.568725,1099.094818,1058.058178,1297.978497,1214.990214,1287.158726,1162.363576,1308.412512,1292.104059,1545.962257,1580.216366,1887.698116,1918.100053,1909.730431,2063.868251,2143.618427,2365.629402,2062.34704
Australia,1.B.1.a  Coal Mining and Handling,1183.596389,1183.596389,1171.379294,1300.238283,1193.406089,1117.336564,1108.930416,1218.10412,1325.442034,1310.704097,1117.532359,1140.001622,1209.065853,1231.755705,1082.143309,1004.280095,1237.789119,1147.914855,1219.218637,1079.678532,1127.109758,1046.893427,1379.189759,1391.817484,1308.654686,1188.506739,1298.741054,1374.299321,1335.296459,1560.304758,1380.957156
Australia,1.B.1.a.i  Underground Mines,1121.818721,1121.818721,1106.073005,1233.286792,1128.611455,1064.860767,1051.384049,1155.834758,1258.650578,1240.347528,1045.162322,1066.125745,1127.906388,1135.781949,985.8288262,898.8061768,1119.667673,1025.947982,1092.895617,956.201914,1026.984245,936.0507674,1249.267841,1253.113719,1176.985373,1049.281739,1164.788,1253.641,1173.803,1414.327,1237.104425
Australia,1.B.1.a.i.1  Mining Activities,1121.818721,1121.818721,1106.073005,1233.286792,1128.611455,1064.860767,1051.384049,1155.834758,1258.650578,1240.347528,1045.162322,1066.125745,1127.906388,1135.781949,985.8288262,898.8061768,1119.667673,1025.947982,1092.895617,956.201914,1026.984245,936.0507674,1249.267841,1253.113719,1176.985373,1049.281739,1164.788,1253.641,1173.803,1414.327,1237.104425
Australia,1.B.1.a.i.2  Post-Mining Activities,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
Australia,1.B.1.a.i.3  Abandoned Underground Mines,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Australia,1.B.1.a.ii  Surface Mines,61.7776679,61.7776679,65.30628871,66.95149152,64.7946341,52.47579714,57.54636757,62.26936216,66.79145611,70.35656926,72.37003704,73.87587657,81.15946494,95.97375661,96.31448298,105.4739182,118.1214454,121.9668737,126.3230209,123.4766181,100.1255137,110.8426601,129.921917,138.7037653,131.6693127,139.225,133.953054,120.6583207,161.4934592,145.9777584,143.8527305
Australia,1.B.1.a.ii.1  Mining Activities,61.7776679,61.7776679,65.30628871,66.95149152,64.7946341,52.47579714,57.54636757,62.26936216,66.79145611,70.35656926,72.37003704,73.87587657,81.15946494,95.97375661,96.31448298,105.4739182,118.1214454,121.9668737,126.3230209,123.4766181,100.1255137,110.8426601,129.921917,138.7037653,131.6693127,139.225,133.953054,120.6583207,161.4934592,145.9777584,143.8527305
Australia,1.B.1.a.ii.2  Post-Mining Activities,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
Australia,1.B.1.b  Solid Fuel Transformation,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE
Australia,1.B.1.c  Other,0.284193283,0.284193283,0.389011287,0.753312609,1.867243632,2.099262574,2.596383203,4.544983246,7.641657879,10.06766556,10.32112127,10.50851632,9.062909915,7.813019821,16.95150873,53.77808295,60.18937818,67.07535869,67.94008834,82.68504422,181.3027538,245.210631,166.772498,188.3988824,579.04343,729.5933138,610.9893771,689.5689303,808.3219674,805.3246436,681.3898847
Australia,1.B.2  Oil and Natural Gas and Other Emissions from Energy Production,6229.288601,6229.288601,5975.45751,6164.518013,6096.907796,5937.94338,6192.22424,5820.75672,5701.839065,5947.740152,6361.250667,7126.962145,7277.581924,7131.77503,6404.009665,6109.423976,5951.203736,6150.928453,6546.644344,6650.505476,7054.254963,7295.136072,6686.772732,7060.974001,7295.236583,7751.469079,9208.885648,10682.21225,13040.73268,14901.85209,18138.91966
Australia,1.B.2.a  Oil,393.8974929,393.8974929,402.0800552,407.4162877,423.1824156,430.0316607,442.5094665,459.3027554,466.092576,472.7928197,474.9127517,474.8840395,483.6137942,476.7470888,461.7792972,432.2372009,435.9442052,398.1211744,425.2887111,415.0045245,291.85823,261.1933286,251.0264173,229.6073185,215.2450594,200.0499049,171.227267,155.0503524,199.1396563,134.9846316,108.7010796
Australia,1.B.2.a.i  Exploration,2.02437019,2.02437019,0.285020564,0.363487737,0.638995155,0.90189986,0.885446068,0.378990957,0.243260483,0.300628581,1.205055711,2.02437019,4.478727547,5.30079723,2.064041233,0.376288211,0.521669595,0.509737959,0.399083569,0.413709668,NO,2.0082592,3.49248,1.205664,5.9005984,NO,NO,11.87236349,58.36576,6.416,0.124
